id,year,rank,school,games,wins,losses,win_percentage,conference_wins,conference_losses,home_wins,home_losses,away_wins,away_losses,offensive_rating,defensive_rating,net_rating,field_goals,field_goal_attempts,field_goal_percentage,3_pointers,3_pointer_attempts,3_pointer_percentage,effective_field_goal_percentage,free_throws,free_throw_attempts,free_throw_percentage,offensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,opponent_points,simple_rating
1,2021,1,Baylor,34,27,7,0.794,14,4,15,2,8,3,111.5,92.7,18.8,28.3,61.3,0.462,8.1,23.5,0.343,0.528,12.4,17.8,0.697,12.9,37.2,15.9,8.8,3.4,12.4,16.1,77,64.1,21.73
2,2021,2,Kansas,40,34,6,0.85,14,4,16,1,6,4,111.5,95.8,15.6,28.6,59.8,0.478,7.2,19.8,0.361,0.538,13.9,19.4,0.717,11,37.9,15.3,6.3,4.3,12.1,15.9,78.2,67.3,22.28
3,2021,3,Texas Tech,37,27,10,0.73,12,6,18,0,3,7,106,89.2,16.8,26.2,55.5,0.472,6.1,18.9,0.321,0.526,13.6,19.5,0.698,10.6,36.4,13.7,8,3.5,13.5,16.2,72.1,60.6,20.08
4,2021,4,Texas,34,22,12,0.647,10,8,16,3,4,7,105.9,93.4,12.5,24.5,55.5,0.441,6.6,20,0.33,0.501,13.2,17.7,0.746,10.4,33.3,13.2,7.7,3.4,11.6,17.9,68.8,60.6,17.01
5,2021,5,Oklahoma State,30,15,15,0.5,8,10,10,6,3,8,96.9,93.1,3.8,25.1,57.9,0.434,5.4,18.2,0.295,0.48,12.7,19.1,0.667,11.6,37.1,12.7,8.5,5.4,15.1,17.4,68.4,65.7,13.28
6,2021,6,TCU,34,21,13,0.618,8,10,12,4,4,6,101.1,95.8,5.3,25.4,57.7,0.439,5.5,18.3,0.302,0.487,12.2,18.1,0.674,13,39,13.6,6.4,4.1,14.5,15.5,68.5,64.9,13.72
7,2021,7,Iowa State,35,22,13,0.629,7,11,14,5,4,6,96.9,92.4,4.5,24.3,56.3,0.431,6.7,21.2,0.315,0.491,10.4,15.2,0.683,9.6,32.4,14.7,8.5,3.1,13.8,18.3,65.6,62.5,12.38
8,2021,8,Oklahoma,35,19,16,0.543,7,11,12,6,3,8,103,97,6,25.3,53.1,0.476,7.6,21.9,0.347,0.548,10.9,14.6,0.747,7.7,31.8,14,7.4,1.9,14.7,15.5,69.1,65,14.12
9,2021,9,Kansas State,31,14,17,0.452,6,12,9,7,5,7,101.5,99.2,2.3,24.1,57.4,0.42,8.4,24.3,0.346,0.494,12.3,17,0.726,8.9,33.2,12.5,7.3,1.6,11.5,17.1,69,67.5,10.61
10,2021,10,West Virginia,33,16,17,0.485,4,14,12,5,1,10,99.9,100.7,-0.8,23.6,57.1,0.413,6.3,19.2,0.328,0.468,14.9,20.6,0.724,10.8,32.2,10.5,7.8,4.5,12.4,17.4,68.5,69,10.23
11,2020,1,Baylor,30,28,2,0.933,13,1,11,0,7,1,118.6,93.7,24.9,30.6,62.9,0.486,10,24.1,0.413,0.565,11.8,16.7,0.708,12.5,36,16.9,8.9,3.7,11.5,17.1,82.9,65.5,24.83
12,2020,2,Kansas,30,21,9,0.7,12,6,14,1,4,6,104.3,95.7,8.6,26.3,60.3,0.436,7.6,22.1,0.342,0.499,12.9,18,0.716,11.1,37.5,13.8,6.9,4,12,15.3,73,67,15.29
13,2020,3,Oklahoma State,30,21,9,0.7,11,7,10,3,8,4,102.7,97.5,5.2,27.2,59.3,0.458,6.3,19.1,0.332,0.512,15.8,22.3,0.71,11.1,38.3,12.8,7.5,4.4,15.6,17.2,76.6,72.7,13.65
14,2020,4,Texas,27,19,8,0.704,11,6,8,5,6,2,105.5,96.8,8.7,26,57.3,0.454,8.6,24.1,0.356,0.529,13.8,19.4,0.71,10.8,38.4,13.2,6.5,4.1,14.6,19.7,74.4,68.2,15.51
15,2020,5,West Virginia,29,19,10,0.655,11,6,8,5,7,2,108.2,100.8,7.4,26.5,61.8,0.429,7.4,20.4,0.364,0.489,16.9,23.4,0.719,13.4,37.8,14,7.6,2.8,12,16.3,77.3,72,15.36
16,2020,6,Oklahoma,27,16,11,0.593,9,8,10,3,4,7,106.2,99.6,6.7,26.7,60.4,0.443,7.9,23,0.341,0.508,13.2,17.7,0.745,9.6,35.7,13.3,7.1,3.6,11,14.7,74.5,69.9,13.52
17,2020,7,Texas Tech,29,18,11,0.621,9,8,11,4,5,4,107.1,93.4,13.8,25.3,57.7,0.439,6.4,18,0.354,0.494,15.5,21.9,0.71,11.5,35,13,7.1,4,10.8,17.3,72.5,63.2,16.59
18,2020,8,TCU,26,12,14,0.462,5,11,6,7,3,6,98.4,104.9,-6.5,24,54.9,0.438,6.7,19.9,0.338,0.499,12,17.8,0.672,9.8,34.6,13,6,3.5,14.2,15.7,66.8,71.2,2.61
19,2020,9,Kansas State,29,9,20,0.31,4,14,6,12,2,7,92.9,105.6,-12.7,22.4,54.4,0.412,6.6,22.2,0.296,0.472,10.4,15.7,0.664,10.2,32.9,13,5.6,1.5,14.9,17,61.8,70.2,0.76
20,2020,10,Iowa State,24,2,22,0.083,0,18,2,10,0,11,93,108.8,-15.8,24.6,58.9,0.418,7.3,22.8,0.321,0.48,9,11.5,0.783,8.6,31.6,11.6,6.5,3.1,14.9,18.6,65.6,76.7,-0.72
21,2019,1,Kansas,31,28,3,0.903,17,1,14,1,11,1,109.4,89,20.3,27.5,56.7,0.484,6.4,18.6,0.344,0.541,13.3,19.9,0.667,10.7,38.6,13.9,7.6,4.7,12.8,14.6,74.6,60.7,24.96
